6136654,417554
6136435,414709
3777756,141812
6136489,419305
6136639,417820
6136630,416329
3777624,142647
3777769,142323
3777796,142426
3777674,142813
6136658,417263
3777798,142541
6136481,416073
3777757,143256
6136673,418179
3777797,141878
6135247,418527
3517044,1207319
6136490,418419
3777612,142021
6136662,417548
3777815,143248
6136488,416509
6136472,415556
3777878,143189
5027267,236843
3777812,143049
5027661,194364
3523799,2172209
3777779,142898
6136638,416863
6136660,415458
3534898,190746
3777886,142132
3777683,143029
3777559,142464
6136665,417846
3777819,142905
6136661,416662
6136655,417721
6136606,417042
3777818,142300
3523648,461126
3777675,142203
6136656,417646
3777813,142847
6136672,416746
3516775,724156
3777786,142086
3533610,451561
6136773,417329
3777606,142606
3525227,304473
6136434,416965
3777658,143104
6136691,414780
5028558,208164
3525790,183543
3777875,143774
3525263,162214
6136607,416889
3777816,141512
